id,name,price,oldPrice,category,badge,badgeClass,icon,rating,description,image
1,Baby Alive Muñeca Grows Up Lala GooGoo,710,null,bebes,Interactivo,highlight,fas fa-baby,4.8,Crece de recién nacida a niña. Incluye accesorios interactivos.,assets/images/1.jpg
2,Dear Mia Little Liz | Cubo de Actividades Montessori,350,null,bebes,Educativo,success,fas fa-shapes,4.6,Cubo didáctico para motricidad fina y estimulación temprana.,assets/images/2.jpg
3,Muñeca Bebe Nenuco, Adivina Lo Que Veo,610,null,bebes,null,,fas fa-baby-carriage,4.3,Muñeca clásica interactiva para cuidados básicos.,assets/images/3.jpg
4,Bus Escolar Cocomelon 2 En 1,750,null,bebes,Musical,info,fas fa-bus,4.7,Autobús musical con luces y sonidos de la serie.,assets/images/4.jpg
5,FurReal Walkalots Grandes Paseos - Mascota Interactiva,655,null,3-5,Más Vendido,highlight,fas fa-dog,4.8,Mascota electrónica que camina y hace sonidos reales.,assets/images/5.jpg
6,Paw Patrol: Chase Guardián Peluche Interactivo,955,null,3-5,Luz y Sonido,highlight,fas fa-shield-alt,4.9,Peluche con linterna y frases de la patrulla canina.,assets/images/6.jpg
7,Paw Patrol Camión de Bomberos Marshall,1350,null,3-5,null,,fas fa-truck-monster,4.9,Camión de rescate transformable con figura de Marshall.,assets/images/7.jpg
8,Play-Doh Set Moto Repartidora de Pizzas,1000,null,3-5,Creativo,success,fas fa-motorcycle,4.5,Set de modelado para crear y entregar pizzas de juguete.,assets/images/8.jpg
9,Alberca Infantil Inflable Bluey,530,null,3-5,Verano,info,fas fa-water,4.7,Alberca resistente con diseño de Bluey y Bingo.,assets/images/9.jpg
10,Play-Doh Iron Man Armor Maker Lab,360,null,3-5,null,,fas fa-robot,4.5,Laboratorio para crear armaduras de Iron Man con masa.,assets/images/10.jpg
11,Play-Doh Marvel Spider-Man Lanza y Atrapa,360,null,3-5,null,,fas fa-spider,4.4,Figura de Spider-Man con acción de telaraña Play-Doh.,assets/images/11.jpg
12,Play-Doh Kitchen Creations Pasteles Divertidos,240,null,3-5,Oferta,warning,fas fa-birthday-cake,4.6,Set básico de repostería creativa.,assets/images/12.jpg
13,PIN Y PON Pinypon,710,null,3-5,null,,fas fa-users,4.4,Set de figuras intercambiables Pinypon.,assets/images/13.jpg
14,Plastilina Play-Doh 2 piezas,50,null,3-5,Básico,,fas fa-palette,4.0,Botes de repuesto de masa Play-Doh.,assets/images/14.jpg
